YEAR,MONTH,ITEM TYPE,RETAIL_SALES,WAREHOUSE_SALES,RETAIL_TRANSFERS,TOTAL_SALES,TXN_COUNT
2017,6,BEER,27862.920000000002,326196.94,28864.42,354059.86,1757
2017,6,KEGS,0.0,6240.0,0.0,6240.0,480
2017,6,LIQUOR,35038.35,4371.68,33297.2,39410.03,2926
2017,6,NON-ALCOHOL,1209.23,1343.75,1266.17,2552.98,71
2017,6,REF,30.599999999999998,0.0,49.0,30.599999999999998,3
2017,6,STR_SUPPLIES,89.22,0.0,302.74,89.22,12
2017,6,WINE,33124.64,47707.46,30924.81,80832.1,8330
2017,7,BEER,27156.86,271963.37,25045.37,299120.23,1673
2017,7,KEGS,0.0,5234.0,-1.0,5234.0,432
2017,7,LIQUOR,33255.13,3345.68,32681.89,36600.81,2878
2017,7,NON-ALCOHOL,1222.45,1085.0,1147.34,2307.45,69
2017,7,REF,67.42,0.0,13.0,67.42,3
2017,7,STR_SUPPLIES,77.86,0.0,452.96000000000004,77.86,13
2017,7,WINE,30726.08,41775.41,29649.02,72501.49,7897
2017,8,BEER,23026.13,329373.43,25734.67,352399.56,1749
2017,8,KEGS,0.0,6169.0,0.0,6169.0,519
2017,8,LIQUOR,32183.14,3841.43,31910.7,36024.57,2900
2017,8,NON-ALCOHOL,1091.28,1221.75,1110.16,2313.0299999999997,67
2017,8,REF,19.54,0.0,18.0,19.54,3
2017,8,STR_SUPPLIES,77.34,0.0,357.0,77.34,13
2017,8,WINE,30708.03,48243.37,30340.9,78951.4,8308
2017,9,BEER,23852.76,258339.23,21490.18,282191.99,1680
2017,9,KEGS,0.0,5359.0,0.0,5359.0,446
2017,9,LIQUOR,32525.7,3312.43,31597.49,35838.13,2902
2017,9,NON-ALCOHOL,997.11,998.1700000000001,930.61,1995.28,72
2017,9,REF,38.88,0.0,9.0,38.88,5
2017,9,STR_SUPPLIES,94.64,0.0,354.0,94.64,12
2017,9,WINE,32933.73,43540.45,31537.1,76474.18,8229
2017,10,BEER,22541.16,254986.61,22476.76,277527.77,1756
2017,10,KEGS,0.0,5533.0,0.0,5533.0,450
2017,10,LIQUOR,32489.21,3660.84,34711.95,36150.05,2947
2017,10,NON-ALCOHOL,945.63,1049.92,988.59,1995.55,70
2017,10,REF,22.82,0.0,12.0,22.82,5
