SUPPLIER,ITEM TYPE,TOTAL_SALES,RETAIL_SALES,WAREHOUSE_SALES
CROWN IMPORTS,BEER,1732242.17,84437.66,1647804.51
MILLER BREWING COMPANY,BEER,1490222.95,86905.24,1403317.71
ANHEUSER BUSCH INC,BEER,1455092.84,105040.35,1350052.49
HEINEKEN USA,BEER,880543.84,55287.13,825256.71
E & J GALLO WINERY,WINE,329413.16,134166.13,195247.03
CONSTELLATION BRANDS,WINE,227257.03,108269.35,118987.68
BOSTON BEER CORPORATION,BEER,223915.95,39958.56,183957.39
DIAGEO NORTH AMERICA INC,BEER,180719.11,25265.08,155454.03
FLYING DOG BREWERY LLLP,BEER,149860.8,26333.56,123527.24
YUENGLING BREWERY,BEER,149195.56,23027.7,126167.86
THE WINE GROUP,WINE,136432.96,64233.39,72199.57
DIAGEO NORTH AMERICA INC,LIQUOR,126864.0,118803.15,8060.85
PABST BREWING CO,BEER,123338.22,9980.1,113358.12
JIM BEAM BRANDS CO,LIQUOR,103727.81,95880.84,7846.97
LEGENDS LTD,BEER,100486.34,8888.36,91597.98
SUTTER HOME WINERY INC,WINE,90642.51,27369.78,63272.73
SAZERAC CO,LIQUOR,85618.56,68830.19,16788.37
MARK ANTHONY BRANDS INC,BEER,76320.20999999999,10531.31,65788.9
SIERRA NEVADA BREWING CO,BEER,73732.36,11373.72,62358.64
TREASURY WINE ESTATES AMERICAS COMPANY,WINE,68223.69,35988.49,32235.2
BACARDI USA INC,LIQUOR,67504.97,59404.47,8100.5
DEUTSCH FAMILY WINE & SPIRITS,WINE,66067.04,30462.24,35604.8
HEAVEN HILL DISTILLERIES INC,LIQUOR,61334.57,53723.39,7611.18
DELICATO FAMILY VINEYARDS,WINE,61194.84,37781.29,23413.55
JACKSON FAMILY ENTERPRISES INC,WINE,60524.36,28761.5,31762.86
PERNOD RICARD USA LLC,LIQUOR,58243.62,51482.37,6761.25
REPUBLIC NATIONAL DISTRIBUTING CO,WINE,52621.22,15371.79,37249.43
SOUTHERN GLAZERS WINE AND SPIRITS,WINE,51187.74,13302.35,37885.39
FIFTH GENERATION INC,LIQUOR,49647.32,42628.73,7018.59
BUCK DISTRIBUTING COMPANY INC,BEER,49470.63,9128.82,40341.81
BROWN-FORMAN BEVERAGES WORLDWIDE,LIQUOR,49222.74,44371.8,4850.94
